formula,image
d e t _ { n } { \hat { M } } = \frac { P ^ { 2 } - 1 } { P ^ { 4 } } \bigg ( \frac { P + 1 } { P - 1 } \bigg ) ^ { P } = \frac { D ^ { 2 } } { P ^ { 2 } } \bigg ( \frac { P + 1 } { P - 1 } \bigg ) ^ { P } .,6a0ed5d810.png
y ^ { 2 } = ( x - \frac { 2 } { 3 } u ) ( x + \frac { 1 } { 3 } u ) ^ { 2 } .,4c55d78a7e.png
( 1 / 2 ) P _ { ( d ) } \Sigma _ { ( d - 2 ) } \lambda _ { ( d ) } ( d - 2 ) C ^ { ( d - 5 ) } I _ { ( d ) },5b62398424.png
\frac { i c } { 2 } \partial _ { m } \partial _ { \overline { n } } ( 8 g ( K ) + \partial _ { \gamma } \partial _ { \gamma } K ) = J _ { m \overline { { n } } } .,345c41cdfc.png
\gamma _ { m _ { c } } ( a ) ~ = ~ - ~ \frac { 3 } { 8 } C _ { A } a ~ - ~ C _ { A } ^ { 2 } \left( 1 8 \alpha + 9 5 \right) \frac { a ^ { 2 } } { 9 6 } ~ + ~ O ( a ^ { 3 } ) ~ .,28e03ea25c.png
\frac { 1 } { \Delta _ { i } } \frac { 1 } { \Delta _ { j } } = - \frac { 1 } { z _ { i } ^ { 2 } - z _ { j } ^ { 2 } } \left( \frac { 1 } { \Delta _ { i } } - \frac { 1 } { \Delta _ { j } } \right),48e4126491.png
"a ( k ) \to \sum _ { l \in { \cal I } } T ^ { * } ( k , l ) \, a ( l ) , \quad k \in { \cal I } \; ,",47ee7bad70.png
\chi _ { 1 } ^ { \prime } ( r ) = \frac { Z ^ { \prime } } { 2 g Z ^ { 3 / 2 } } \left( \frac { p ( r ) - q ( r ) } { Z } - h _ { 0 } ( r ) - 3 h _ { 1 } ( r ) \right),4bbaa54678.png
y ^ { \mu } - x ^ { \mu } = \pi ( J p ) ^ { \mu } + { \cal O } ( H ^ { 1 } ),403b9a1774.png
k ^ { 2 } ( t ) = \frac { 1 } { 2 \sqrt { 2 } } \ e ^ { \alpha ( t ) x } \left( \alpha ( t ) ^ { 2 } + 2 x ^ { 2 } \alpha ^ { \prime } ( t ) ^ { 2 } + 2 x \alpha ^ { \prime \prime } ( t ) \right) k _ { 0 } ^ { 2 },2cb1e75ea8.png
W _ { \nu } ( \zeta ) \sim \frac { 2 ^ { i \nu } \Gamma \left( \frac { d - 1 } { 2 } - i \nu \right) \Gamma ( i \nu ) } { 2 ( 2 \pi ) ^ { \frac { d + 1 } { 2 } } } \ \ \zeta ^ { - \frac { d - 1 } { 2 } + i \nu } \ \ \ \ \ \ \ \ \makebox { f o r I m } \ \nu < 0,5de6385dfc.png
"K _ { a } ^ { \alpha } \equiv \omega _ { a b } X ^ { b c } \, \bigr \{ T _ { c } , \, \Omega ^ { \alpha } \bigr \}",33b9878079.png
"T _ { \mu \nu } ^ { ( \phi ) } = - { \frac { 1 } { 4 } } \eta _ { \mu \nu } e ^ { 2 ( A - B ) } ( \partial \phi ) ^ { 2 } ,",1946259ae0.png
\partial _ { \hat { \imath } } ( e ^ { e ^ { - \phi / 2 } } \epsilon _ { I } ) = 0 \ .,185f8d797e.png
"f _ { 0 } ( \eta , \zeta ) = e ^ { - 2 \frac { \eta } { \zeta } } f _ { 1 } ( \eta , \zeta )",8a74c754a4.png
f ( u ) = \frac { \operatorname { s i n h } ( u ) \operatorname { s i n h } ( u + 3 \lambda ) } { \operatorname { s i n h } ( u + 2 \lambda ) \operatorname { s i n h } ( u + 4 \lambda ) } .,54a744979c.png
\rho = \frac { \omega \pi ^ { 2 } T ^ { 4 } } { 3 0 } .,3b45de16da.png
"\left[ \omega ^ { 2 } - L ( \omega ) \right] \phi _ { \omega } ^ { \prime } = 0 ,",cd3b78d00d.png
"G ^ { ( 3 ) } ( x , x , x ) = - i \lambda \int d y \left[ G _ { 0 } ( x , y ) \right] ^ { 3 } + O ( \lambda ^ { 3 } ) .",32f0ed974b.png
"\{ v ( x ) { } _ { , } ^ { \otimes } v ( y ) \} = T _ { \rho } v ( x ) \otimes T _ { \sigma } v ( y ) \; { \cal H } _ { \rho \sigma } ( x , y ) \quad ,",538b3384f8.png
\xi _ { 2 } - \xi _ { 1 } = \xi _ { 4 } - \xi _ { 3 } .,21bd745707.png
"E _ { i } ^ { a b } , _ { c d } , ^ { e } = - 2 \delta _ { ( c } ^ { ( a } \delta _ { d ) } ^ { e } \delta _ { i } ^ { b ) } ,",7783c92515.png
"D _ { - 1 - j } ( x , t ; \xi , t ; z ) \ \equiv \frac i { 2 \pi } \int _ { \Gamma } \lambda ^ { z } \theta _ { 1 } ( \xi , \lambda ) \ \tilde { d } _ { - 1 - j } ( x , t ; \xi , t ; \lambda ) \ d \lambda .",6e99917d8f.png
"\xi = \frac { q } { 4 \pi f _ { \phi } r } \sqrt { \frac { 1 } { 2 } - \frac { 1 } { 2 N _ { c } } } , \qquad \theta ( \xi ) = \frac { \phi ( r ) } { f _ { \phi } } ,",2d02929069.png
{ \cal O } _ { P } = i q _ { i } \omega ^ { i j } \partial _ { j } P ( a ) - \bar { c } _ { i } \omega ^ { i j } \partial _ { k } \partial _ { j } P ( a ) c ^ { k } .,45196f35e2.png
"1 + \int d ^ { 4 } x t r \alpha ( x ) A ( x ) - \delta S ( A _ { \mu } , \bar { \psi } , \psi )",ef72fcb421.png
b _ { 2 } ^ { 2 } - b _ { 1 } ^ { 2 } = 2 a _ { L } a _ { R } .,3bc89da104.png
"\Delta _ { a } ( T ) = - ( b _ { 0 } - 3 \delta _ { \mathrm { G S } } ) \operatorname { l n } \left( | \eta ^ { 4 } ( T ) | ( T + T ^ { * } ) \right) + ( b _ { 0 } / 3 ) \operatorname { l n } | H ( T ) | ^ { 2 } ,",3ee6f5b415.png
m _ { \mathrm { A D M } } = \frac { 4 \pi v } { e } \frac { \mu _ { \infty } } { \alpha ^ { 2 } },4822c022b4.png
"u = \left( \frac { e ^ { 2 } ( k F ^ { 2 } k ) } { 1 6 m ^ { 6 } } \right) ^ { - \frac { 1 } { 3 } } ( 1 - v ^ { 2 } ) ^ { - \frac { 2 } { 3 } } \, .",2fb6523526.png
"\left[ \hat { L } _ { z } , \, \hat { L } _ { + } \right] = \hat { L } _ { + } ; \qquad \left[ \hat { L } _ { z } , \, \hat { L } _ { - } \right] = - \hat { L } _ { - } ; \qquad \left[ \hat { L } _ { + } , \, \hat { L } _ { - } \right] = 2 \hat { L } _ { z } .",3b70ea51f4.png
"I _ { I } { } ^ { J } \equiv \omega _ { I K } g ^ { K J } \, , \qquad ( J ^ { ( r ) } ) _ { I } { } ^ { J } \equiv \Omega _ { I K } ^ { ( r ) } g ^ { K J }",10082e64f7.png
k + 2 = \frac { 1 } { 2 \alpha _ { 0 } ^ { 2 } },4f98225673.png
\partial _ { u } \epsilon = 2 q e ^ { - \rho / \alpha } e ^ { 2 \gamma - \theta },69bf67014c.png
"\frac { \partial } { \partial \tau } \psi ^ { a } ( q , p , t ) = ( \Delta - m ^ { 2 } ) \psi ^ { a } ( q , p , t ) + n ^ { a } ( q , p , t )",29f2513652.png
\sigma ( \dots ( \sigma ( \sigma ( i ) - 1 ) - 1 ) \dots ) = 1,9f3a771639.png
"\delta _ { \epsilon } I _ { \mu } ^ { a } = f _ { \ b c } ^ { a } I _ { \mu } ^ { b } \epsilon ^ { c } ,",6759dc86a0.png
L = \alpha ( m + \bar { m } ) + \beta ( n + \bar { n } ) + \frac { h } { 2 } ( p + \bar { p } ) + q + \bar { q } \ .,7d208b3bfe.png
"\left[ e ^ { - \bar { H } _ { i } ^ { 2 } t } \right] _ { \mathrm { d i a g } } \simeq { \frac { 1 } { ( 4 \pi t ) ^ { 3 / 2 } } } \left( r _ { i } + \bar { a } _ { i , 1 } t + \bar { a } _ { i , 2 } t ^ { 2 } + . . . \right) ~ ~ ~ ,",b7036df9bc.png
{ \mathrm { ( s m o o t h ~ f u n c t i o n ) } } \: T _ { \bullet } ^ { ( a _ { 1 } ) } \cdots T _ { \bullet } ^ { ( a _ { p } ) } \: \overline { { T _ { \bullet } ^ { ( b _ { 1 } ) } } } \cdots \overline { { T _ { \bullet } ^ { ( b _ { q } ) } } },450c30653c.png
"W ^ { 0 } [ u ] = \operatorname* { m i n } _ { \{ A \} } \left( \Gamma ^ { 0 } [ A ] - \frac { 1 } { 2 \pi x } \{ u \, A \} \right) \ .",2b11825385.png
"\frac { ( \widehat { E } _ { n } ) _ { 1 } \oplus ( \widehat { E } _ { n } ) _ { 1 } } { ( \widehat { E } _ { n } ) _ { 2 } } \qquad n = 6 , 7 , 8 \, .",1faee74bec.png
"\int _ { - T / 2 } ^ { T / 2 } d t b = \beta ( T / 2 ) - \beta ( - T / 2 ) - \omega T = 0 \, .",5eb328ed59.png
\rho ^ { \prime } + \frac { 1 } { 2 } = \mu e ^ { 2 \phi },61703cafca.png
"f ( n _ { 1 } n _ { 2 } n k ) = ( - 1 ) ^ { n _ { 1 } + n _ { 2 } } f ( n , k )",6b88efaf01.png
"p \equiv - { \frac { R } { \alpha ^ { \prime } ( D - 1 ) } } \; = - { { \rho } \o { D - 1 } } \to - \infty \; ,",676dbccbc3.png
"{ \cal { D } } _ { A } G _ { i } = 0 , \hspace { 3 p t } \sigma G _ { i } = \epsilon _ { i j } g ^ { j } ( x )",4fdd41bc53.png
f _ { 1 } = - f _ { N } = \frac { \mathrm { s n h } ( \lambda ) \mathrm { c n h } ( \alpha ) \mathrm { d n h } ( \alpha ) } { 2 \mathrm { s n h } ( \alpha ) } .,5d78c95728.png
"< G ( p , \tau ) > = \frac { - i } { ( m ^ { 2 } - p ^ { 2 } ) } \sum _ { n = 0 } ^ { \infty } \frac { ( - e ^ { 2 } A ) ^ { n } } { n ! \epsilon ^ { n } } \Gamma ( 1 + n \epsilon ) ( \frac { 2 i \mu ^ { 2 } } { m ^ { 2 } - p ^ { 2 } } ) ^ { n \epsilon }",79cc013d3f.png
"\partial _ { \pm } \eta ^ { \dagger } = \alpha _ { \pm } [ A _ { \pm } ^ { \dagger } , \eta ^ { \dagger } ] ,",61fdfb9ed2.png
"S ^ { - 1 } ( p ) = S _ { 0 } ^ { - 1 } ( p ) - e ^ { 2 } \int \frac { d ^ { 3 } q } { ( 2 \pi ) ^ { 3 } } \gamma _ { \mu } S ( q ) \Gamma _ { \nu } ( p , q ) D _ { \mu \nu } ( p - q ) ,",3710a6c9ea.png
M _ { 1 } \equiv - 3 ( N _ { 4 } + N _ { 5 } ) + 2 ( N _ { 1 } + N _ { 2 } + N _ { 3 } ) ) .,72cd04a466.png
"e ^ { - \beta F } = \prod _ { K } \left[ 1 - e ^ { - \beta ( E _ { K } - m \Omega _ { H } ) } \right] ^ { - 1 } ~ ,",61b8cf7aff.png
"\left[ k ^ { l } R ^ { l } \, , \, k ^ { m } \Theta _ { m j } P ^ { j } \right] \, = \, i \, k ^ { l } \, k ^ { m } \, \Theta _ { m j } \, \delta ^ { l j } \, = \, 0 ,",6e68254cd9.png
g _ { \mu \nu } ^ { \prime } = v ^ { - 2 } \hat { \phi } ^ { 2 } g _ { \mu \nu } .,17e705e251.png
"\bar { \varepsilon } _ { \pm } ^ { a } = \frac { 1 } { \sqrt 2 } ( 0 , 1 , \pm i ) ^ { T }",7a18221398.png
R ( \zeta _ { 1 } / \zeta _ { 2 } ) ( \pi _ { \zeta _ { 1 } } \otimes \pi _ { \zeta _ { 2 } } ) \circ \Delta ( y ) = ( \pi _ { \zeta _ { 1 } } \otimes \pi _ { \zeta _ { 2 } } ) \circ \Delta ^ { \prime } ( y ) R ( \zeta _ { 1 } / \zeta _ { 2 } ) .,14b9b80cd0.png
\delta _ { \lambda } S ^ { ( p ) } = \sum _ { n } ^ { } \delta { \lambda _ { n } ^ { ( p ) } } \hat { Q } ( - \tilde { \theta } _ { n } ^ { ( p + 1 ) } a _ { n } ^ { ( p ) } ),28c8b86f79.png
"\operatorname* { d e t } { \cal B } = - k ^ { - 2 } \big ( 1 - k ^ { 2 } U _ { k } ^ { + } H _ { k l } ^ { - 1 } U _ { l } ^ { - } ) \operatorname* { d e t } H \, .",571a73c206.png
"\left\{ M _ { 2 } \ge M _ { 1 } = 0 , ~ J > { \frac { 1 } { 3 } } \left( M _ { 2 } - M _ { 1 } \right) + 1 \right\} \cup",959fe4a83c.png
\bar { \Phi } _ { 0 } = \frac { ( \tilde { Q } _ { 0 } \tilde { Q } _ { 1 } \tilde { Q } _ { 2 } ) ^ { 1 / 2 } } { l ^ { 3 } },1f581335b6.png
"d s ^ { 2 } = g _ { 0 0 } ( { \bf x } ) d t ^ { 2 } - \gamma _ { \alpha \beta } ( { \bf x } ) d x ^ { \alpha } d x ^ { \beta } \qquad ( \alpha , \beta = 1 , 2 , 3 )",4fc97987b2.png
S _ { q f } ^ { ( \mathrm { e x } ) } \sim N _ { e f f } ~ H _ { m a x } ^ { 3 } V \sim e ^ { - \phi _ { e x i t } } l _ { s } ^ { - 2 } ~ H _ { m a x } V \sim l _ { P } ^ { - 2 } ~ H _ { m a x } V \sim S _ { H B } ^ { ( \mathrm { e x } ) } ~ .,57007fcb23.png
"{ \cal Z } ( S ^ { 3 } ; L _ { 1 } , L _ { 2 } ) = { \cal Z } ( S ^ { 3 } ; L _ { 2 } )",4c2a29b567.png
\int _ { \mu ^ { - 1 } ( 0 ) } \theta \wedge \sum \alpha _ { j } ( \mathrm { d } \theta ) ^ { j },4d60a0dfb9.png
"[ A , \, B ] _ { \mathrm { M } } = A * B - B * A \, .",4b31e63b4b.png
"S _ { W Z } = \int _ { W } \phi ^ { * } ( \tilde { b } ) = \int _ { W } \phi ^ { * } ( \Pi _ { \mu } ^ { ( \varphi ) } \Pi ^ { \mu } + { \frac { 1 } { 2 } } \Pi _ { \alpha } \Pi ^ { \alpha } ) \quad ,",11e318cd24.png
"{ \mathcal D } _ { 1 } ( x , y ) \; = \; \int \frac { d ^ { 2 } { \hat { k } } } { ( 2 \pi ) ^ { 2 } } \, e ^ { i { \hat { k } } \cdot ( { \hat { x } } - { \hat { y } } ) } \gamma _ { k } ( x _ { 2 } , y _ { 2 } )",4cb33ba9e0.png
"q \frac { \partial } { \partial q } F ( q , t , r ) \biggl | _ { A _ { + } \to 0 } \, = \frac { 1 } { 4 A _ { + } } \left( \beta \Bigl | _ { A _ { + } = 0 } \right) \; ,",1a5849201b.png
\bar { \mu } ^ { \dot { A } } = \left( x ^ { B \dot { A } } - i \Theta ^ { B } \bar { \Theta } ^ { \dot { A } } \right) \lambda _ { B } + 2 \bar { z } ^ { \dot { A } \dot { B } } \bar { \lambda } _ { \dot { B } } - i \bar { \Theta } ^ { \dot { A } } \bar { \Theta } ^ { \dot { B } } \bar { \lambda } _ { \dot { B } },7e21fc4f04.png
"j ^ { k } ( x ^ { 0 } , { \vec { x } } ) \; = \; e \, \int d t \, \sum _ { a = 1 } ^ { N } \, \frac { d x _ { a } ^ { k } ( t ) } { d t } \, \delta ( x ^ { 0 } - t ) \, \delta ^ { ( 2 ) } ( { \vec { x } } - { \vec { x } } _ { a } ( t ) )",70b758387a.png
"\lambda ^ { a , \alpha \beta } \lambda _ { a ~ \delta } ^ { ~ \gamma } - \lambda ^ { a , \gamma \alpha } \lambda _ { a ~ \delta } ^ { ~ \beta } = \frac { 2 } { \sigma _ { 0 } } \left( \Omega ^ { \alpha \beta } \delta _ { ~ \delta } ^ { \gamma } - 2 \Omega ^ { \beta \gamma } \delta _ { ~ \delta } ^ { \alpha } + \Omega ^ { \gamma \alpha } \delta _ { ~ \delta } ^ { \beta } \right) ,",614d14a9d8.png
{ \sl L } = - \frac { 1 } { 4 } F _ { \mu \nu } ^ { 2 } - \frac { 1 } { 2 } ( \partial _ { \mu } \Phi - m A _ { \mu } ) ^ { 2 },1ac1721ba9.png
{ \bf \nabla } ^ { 2 } \Omega ( x ) = \frac { e } { \lambda } \rho ( x ) .,4b30868714.png
"u _ { \mu } = \varepsilon \frac { \dot { D } _ { \mu } } { { \cal L } } - ( \varepsilon Q _ { \mu } ) ^ { \prime } ,",16d49f3c16.png
"[ { \cal G } ( { y } ) , e ^ { { \cal D } ^ { \prime } ( x ) } \psi ( x ) ] = 0 .",4f69befcf3.png
\psi _ { Q } = \left( \begin{array} { c } { Q _ { 0 } - i Q _ { 3 } } \\ { Q _ { 2 } - i Q _ { 1 } } \\ \end{array} \right),4742946ff1.png
"{ \cal L } = \frac { 1 } { \kappa ^ { 2 } } \sqrt { g } R ~ + ~ { \cal L } _ { \mathrm { { m a t t e r } } } ~ + ~ { \cal L } _ { \mathrm { F P + G F } } ,",6b223034c9.png
"\lambda _ { i j k } ^ { \mathrm { t r e e } } = \frac { g _ { \mathrm { t r e e } } } { \sqrt { 2 } } W _ { i j k } \, ,",2a0376b10e.png
"x ^ { - } = u , \qquad z = \operatorname { s i n } u h ~ x , \qquad z ^ { i } = \frac { E } { h } \operatorname { c o s } u h ~ x ^ { i } , \nonumber",3cb02471f3.png
"U = X ^ { 4 } + X ^ { 5 } \ , \qquad x ^ { \mu } = \frac { X ^ { \mu } R } { U } \ , \qquad \mathrm { w i t h } \qquad \mu = 0 , 1 , 2 , 3 \ ,",451a9735d1.png
"j _ { 3 } ( \alpha , m , L ) \approx \left\{ \begin{array} { c c } { \sqrt { 2 } \left( \frac { m } { \pi L } \right) ^ { 3 / 2 } e ^ { - m L } \operatorname { s i n } 2 \pi \alpha } & { \quad m L \gg 1 } \\ { \frac { 4 \pi } { 3 L ^ { 3 } } \left( \alpha - 3 \alpha ^ { 2 } + 2 \alpha ^ { 3 } \right) } & { \quad m L \ll 1 } \\ \end{array} \right.",5202f19999.png
L = { \frac { 1 } { 2 e ^ { 2 } } } \dot { A } _ { i } ^ { 2 } + { \frac { \kappa } { 2 } } \epsilon ^ { i j } \dot { A } _ { i } A _ { j } - v ^ { 2 } A _ { i } A _ { i },7fbd49fc2a.png
"\varphi ( x , t ) | _ { _ { t = 0 } } = \varphi ( x ) \qquad \qquad \frac { \partial \varphi } { \partial t } ( x , t ) | _ { _ { t = 0 } } = \varpi ( x )",3e848ef595.png
- \frac { d ^ { 2 } \tilde { \rho } ^ { ( n ) } ( x ) } { d x ^ { 2 } } +,c774931389.png
"\partial _ { \rho } \partial _ { \lambda } [ \xi ^ { \beta } \xi ^ { \mu } g _ { \beta \mu } ( \xi ) ] = H _ { \rho \lambda } ^ { 0 } ( \xi ) = c _ { \rho \lambda } ,",36f378ceac.png
"\sigma P = \left( \frac { ( a z + b ) ( \bar { c } \bar { z } + \bar { d } ) + a \bar { c } r ^ { 2 } } { | c z + d | ^ { 2 } + | c | ^ { 2 } r ^ { 2 } } , \frac { r } { | c z + d | ^ { 2 } + | c | ^ { 2 } r ^ { 2 } } \right)",1147faf149.png
"C _ { m n } ( \phi ) \mid 0 \rangle = \tilde { D } _ { n m } ( \tilde { \phi } ) \mid 0 \rangle = i [ \tilde { \pi } _ { n } , F _ { m } ] \mid 0 \rangle = i [ \pi _ { m } , \tilde { F } _ { n } ] \mid 0 \rangle .",712ba8d294.png
"{ \cal G } ^ { \infty } / { \cal G } _ { 0 } ^ { \infty } = { \bf Z \ , }",707d80a817.png
"( M ) _ { A B } = ( - 1 ) ^ { \frac { 1 } { 2 } p ( p + 1 ) } \, ( M ) _ { B A } \qquad \quad M ^ { T } = - ( - 1 ) ^ { \frac { 1 } { 2 } p ( p + 1 ) } \, C \, M \, C ^ { - 1 } \ \ .",2f870f8cb0.png
\tilde { E } \equiv - \bar { D } _ { \mu } H _ { \mu \nu } \bar { D } _ { \nu },4795a0516c.png
M = { \frac { A ^ { \prime } } { A } } = \alpha ^ { 2 } x ( { \frac { 2 P ^ { 2 } K ^ { 2 } } { N ^ { 2 } x ^ { 2 } } } + { \frac { 2 K ^ { 2 } } { x ^ { 2 } } } + H ^ { 2 } ),3e20560874.png
S = \sqrt { 2 \pi Q _ { 1 } Q _ { 5 } } \int _ { 0 } ^ { L } \sqrt { \tilde { p } / \kappa ^ { 2 } } \ d u .,645ef90910.png
\lambda = \sqrt { \frac { 9 } { 4 } - \frac { m ^ { 2 } } { H ^ { 2 } } } \ .,372ded774b.png
J ^ { \mu } = \partial _ { \mu } \sigma \pi - \partial _ { \mu } \pi \sigma \quad .,45de9ff920.png
"\phi ( - p ) \left[ \frac { p ^ { 2 } - 1 } { 2 } + g \kappa \left( \frac { 1 6 } { 2 7 } \right) ^ { p ^ { 2 } } \cdot 3 \langle \phi \rangle \right] \phi ( p ) \, .",1573ea4468.png
"w _ { \mu } ^ { a b } = \epsilon ^ { a b } w _ { \mu } \; ,",7965b869b2.png
"\Gamma _ { \L \L _ { 0 } } \left[ \Phi , \bar { \Phi } ; \chi \right] = - W _ { \L \L _ { 0 } } \left[ J , \bar { J } ; \chi \right] + \int d ^ { 6 } z J \Phi + \int d ^ { 6 } \bar { z } \bar { J } \bar { \Phi }",5f1ccc95f7.png
"\tilde { \gamma } _ { i _ { 1 } \ldots i _ { p - 2 k - 1 } } ^ { ( 1 ) } \equiv \pi _ { 0 i _ { 1 } \ldots i _ { p - 2 k - 1 } } \approx 0 , \; k = 0 , \cdots , a ,",61140a145c.png
"C _ { n } ^ { ( - 1 + D / 2 ) } ( z ) \quad ( n = 0 , \, 1 , \, 2 , \, 3 , \, \ldots ) ,",7dd4df2bdb.png
"\{ F ^ { \sigma \nu } , x ^ { \mu } \} - \{ F ^ { \sigma \mu } , x ^ { \nu } \} = \{ F ^ { \mu \nu } , x ^ { \sigma } \} .",4ae0099f82.png
"{ R } ^ { a b } ( d , d ) = d \Omega ^ { a b } - \Omega _ { ~ c } ^ { a } \Omega ^ { c b } = \Omega ^ { a i } \Omega ^ { b i } ,",73b57d3a59.png
"\phi _ { n } ^ { \alpha } ( x ) = \frac { 2 \pi ( n + N p _ { \alpha } ) x } { N L } + \phi ^ { \alpha } ( x ) \ \ ,",5028825ba1.png
\operatorname* { l i m } _ { D \rightarrow \infty } S _ { e f f ( L C G ) } ^ { ( D ) } = S _ { e f f ( L C G ) } ^ { ( \infty ) },1a96b08577.png
{ \operatorname { e x p } ( - i e \chi ) \Rightarrow \operatorname { e x p } ( g \chi ^ { a } T ^ { a } ) \equiv h ^ { - 1 } },5ca32d930c.png
"\alpha ( \gamma , \mu ) \alpha ( \gamma \mu , \rho ) = \alpha ( \gamma , \mu \rho ) \alpha ( \mu , \rho ) ,",d4996afbdf.png
"\hat { I } _ { 4 } = d Q _ { 3 } , \qquad \delta Q _ { 3 } = d Q _ { 2 } ^ { 1 } ,",746448c9cd.png
"c _ { \pm } \sqrt { \omega z } J _ { \pm j / 2 } ( \omega z ) \sim 2 \operatorname { c o s } ( \omega z - \alpha _ { \pm } ) \textrm { \quad a s \quad } \omega z \to \infty ,",3e11870916.png
"[ a _ { i } ^ { \dagger } a _ { j } \pm a _ { j } a _ { i } ^ { \dagger } , a _ { k } ^ { \dagger } ] = ( 2 / p ) \delta _ { j k } a _ { i } ^ { \dagger } , \quad \forall i , j , k = 1 , 2 , . . . , M .",3c8958cd91.png
"T _ { \mu } = \frac { \partial \xi ^ { 0 } } { \partial \xi ^ { \mu } } \ \ , \ \, T h e t a _ { \mu } = \rho \frac { \partial \theta } { \partial \xi ^ { \mu } } \ \ \mathrm { a n d } \ \P _ { \mu } = \frac { \partial \rho } { \partial \xi ^ { \mu } } .",7f5fb9f2b4.png
